,country,id_channel,videos_pint21,List_Videos_Id,test,total_views,avg_views
1,Australia,UCc2oCI8o9lW40eZghEyGeIQ,16,"['4-tF4kOj8CM', 'nIIRuIAedLQ', 'QPI45jbVDZg', 'smC69S4yHmE', 'xPiYL--f_Yw', '6onKFguPr5o', 'R8aMBrfTU3g', 'KW2oxFqowe4', 'sxOF2uUj8qo', 'ro-CCYPd1bs', 'WwwtmKbOrjE', 'F_1HIlOr0nE', 'Yq-o832jlIU', '4q4CQDi4tOQ', 'SdrWT8lj2WE', 'ctziryrBp34', 'EwU1Z9Ur-vs', '56RJfRbtlV8']",18,2334,145.875
2,Austria,UCkKjMOK6TqrmuWzzQl3cRNg,9,"['nac-lekVDF4', 'ZDMHB2SSJtw', 'leCu9wckHmk', 'SF4rqIcXPA4', 'iFcsGrUOwAQ', 'QLGMBge6YWo', 'ScClPhZ_TGE', 'gvM8iOz7tpA']",8,1628,180.88888888888889
3,Belgium,UCPUYaxp3UQNSvPdcAd8fZxw,6,"['28G4v9IWJcg', 'iflPXPYG8pU', 'EGTmCKDl_zM', 'jgkmWD2TRkg', 'FrghBM4t1yU', '1G9ta25-XjQ']",6,619,103.16666666666667
5,Brazil,UC2cUdAZQ2B7aXsWhQuzmxJA,62,"['ba1k6M74to0', 'ni_p8LyQSw4', 'fZ9yd5uDdgk', 'qqcSGnT9gXs', 'pbiSTYzgat8', 'YMQkEcFi_9o', 'eE7rtJdBHz0', 'cLlx8rnUJG8', 'ZrgPAlwfc6M', 'C6ATOwAOUHo', 'nl0BkIc2eZE', 'mxE1kqw6R6Q', 'Go92RZyS4R8', 'vgAfRXVdn2Y', 'y3PokUuuetQ', 'bNTSbxyh5qk', '9pPkrkTYkOg', '09GKIAJlEUU', 'PHl8ynFdyIA', 'fxMiBo_XxEo', '-sr3TSIqCAI', 'KWDQyNHHZmY', 'm-nwhGOW5wg', 'rEBHTeccjnU', 'VIl7DnGcCik', '-OfbwNWi5HQ', 'oVHezEQ6RZ8', 'r9wlGX-1Gvo', 'IQK0C6b1Evc', 'h4YoEqdUB1w', 'DeCKlrRJsEk', '4_7EY2bM95c', 's_Ye9lh_zBM', 'XJnD02xouJw', 'SNED8EJHIwU', 'QDsRTgSvKNg', 'yjtxKwTYQps', 'opjQZ86hvTc', 'rJvDXJ_qKeM', 'F5Od2W_UKN4', 'K9anQQDlyzE', 'xU1rgKuMqPs', 'Z0UuLuscLBs', 'oE_zoShlO2g', 'Fl822SeWRg4', 'KF26-IdzzPc', 'xpWeuNC8bqw', 'SjMSzyLRRBc', '7w6R5_Z2rPo', 'qRqVGtqcifs', 'xZ0yPtZqWFo', 'VmTecwQWX8Q', 'g4e9dabsrxk', '5GkVMHngb5g', 'pRhv20V3yjQ', 'ScUgACnudm0', 'ev7DtmHFD5s', 'Wwh9QHCUP1E', 'aWAv7VbWmOY', '71X5O997-Gs', '_1Vo3ZoeTIs', 'zwz9sQbGK6A']",54,16164,260.7096774193548
7,Croatia,UC6kDpr-TknEtDwrlpTXUE5A,8,"['dt4jyt6GfZQ', 'MLruHR7HDFs', 'ju7iJbs4mZY', '9pdtGULRI0E', 'vzTAvlaBtvs', 'j6XmDtKdpJ8', 'TGd6uBslssA', 'YVA1n2Kp9R0']",8,497,62.125
8,France,UCHWJnfi2PiQ6AwN9_lQxWTA,18,"['PFNf_Cd71eg', '7GYWFIehw64', 'tsHzIauWxu4', 'X9ZByxsjopU', 'hD825JvNVls', 'CYY6hJgIAmE', 'lJiIVhEuBsI', 'Te1AmuKOag4', '8t5oBQlePZQ', 'P8btBBUWybs', 'J4_SXMxOf1U', '0N-HZJVimVw', 'DgfbF5J4NAc', 'yBnczjyDV0M', 'YDJZjeaOBHI', 'TG6bvZ4u-Qs', 'qLI7ZGPQ5V0', 'vOLbcCClkZw']",18,5469,303.8333333333333
10,Grece,UC2M5ejTtqA1sDWJ32WnvZmA,3,"['hahJ7gaCAtM', 'RLlFoonf3y0', 'C9gUZN9_apY']",3,759,253.0
12,Italia,UCwz2FHQYQjoPx5tsdGkrMkw,3,"['5yPVIWNcWCc', 'vTwfH80BPdk', 'u7JYpqZxsHM']",3,978,326.0
15,Netherlands,UC-MP22kPy72rQZtvdlfZVvw,5,"['H-bCAdr9RWs', '3w1kGxaLvzM', '92jf3vqN144', 'Ld_8cMgy7ww', 'cQ1O9C0o7KU']",5,451,90.2
16,Norway,UClXb3x0J3CrLB9pGXEhIfcQ,14,"['qvUtYHB_buA', 'mpwFlt91I98', 'XZxqM7wky_0', 'VcwVIMbVNpQ', 'Z9AGqJuESok', '--qGwbOFJYw', '2MzFoW54vyg', '98mDjfdmjDM', '954QDo-IXBE', '9ctmRedQAa4', 'kiy6YAZl2Fw', 'tZssCjjXhQA', 'jMzSODvEVGg', '7tSDytB9NA8']",14,1666,119.0
18,Suisse,UCFlkhTsC1VXc-X0v7FbHVYg,3,"['FBvV0WhtFws', 'z9R8K13a0Zg', 'nFcLkw6tWBc', 's2vyz2qYfUs']",4,758,252.66666666666666
19,UK,UCls8WK5H0VnefXYV5hkBQig,68,"['ghIGZHELr9A', 'wQkjndbfPEA', 'Btr7IPDslN8', 'flZOQMHUCPY', 'bXnbVmX3NQ8', 'a_xCG7v4-XM', 'rPjEwFh8c8A', 'KHwlKFlMnA4', 'wR4kTngB3jU', '8DUlvEu-_uw', 'ACyx_QO2klM', 'foto-qfy-uM', 'EaV-ydvY4Xk', 'e859us2x8hw', 'FWJbS4yEwhA', 'SOgieIwL6Hk', 'FkTtoZUO4A8', 'nDUHkwPXRrM', 'B4l9BN4wLcs', 'dS253hrIyaU', '7CqAVHZcPGI', 'Fw8egrd7Lcw', '7hnh1S1liJg', 'QCFAuLAHz4M', '4wcTbRn3gNM', 'xaaekbeVti0', 'qDDkU9XsCcc', 'bo1v3hXXP24', 'bQ7QlqhX9kk', '9k8Wgak1v30', 'xY1YvHGD29o', 'i_lPAT62XC4', 'Os_tjE_MgRg', '2VW221YDsnQ', 'mp_pVY6LTqE', 'YNZUxK9Qs8U', 'xdfqR0FAChc', 'ZIe0KNBEncU', '0P_riZIR29g', 'd1sLeC5H284', '6aMUa1G_y4k', 'SWfJj0wpdis', 'm6VgLuh8mho', 'rTjzjYD2vZY', 'L0ocYLx9C6M', '1W2yGCqZcIM', 'sXJsnnmzZZY', 'UdrAJMPlZVM', 'WpuBSmYgzmo', 'DHS0skRi-RQ', '_UL-2sQjkGI', 'McBHuWVaLV0', 'Zl3PFcadQEc', 'kO25T8O2V1E', 'sm_ZpR0zuxA', 'Nmt2m5MI9HM', 'Ns11ZvAWAUI', 'U18l_dLgYj8', 'IYJUYP5cSG4', 'CQy1goWGQDI', 'HFKceBdG3No', 'TjHttkL6ie0', 'AbLmd-336UA', 'HiOhQ8c4O_Y', 'fnyTpJuaz8U', 't4MK4-li2xk', 'Br1mTvUT1RY', 'DQc96iuosZs']",68,22339,328.5147058823529
