Country ;ID Youtube channel;;;;;;
Argentina;UCDV6omZERVVeJlcS7L66hmw;;;;;;
Australia;UCc2oCI8o9lW40eZghEyGeIQ;;;;;;
Austria;UCkKjMOK6TqrmuWzzQl3cRNg;;;;;;
Belgium;UCPUYaxp3UQNSvPdcAd8fZxw;;;;;;
Brazil;UCEq25HBY940kEE497ob83Pw;;;;;;
Brazil online;UC2cUdAZQ2B7aXsWhQuzmxJA;;;;;;
Canada;UC2mXRtVioSJT52FjFl5YmJg;;;;;;
Croatia;UC6kDpr-TknEtDwrlpTXUE5A;;;;;;
France;UCHWJnfi2PiQ6AwN9_lQxWTA;;;;;;
Germany;UCxRdh-3ghK--OcFTEhJ9-pA;;;;;;
Grece;UC2M5ejTtqA1sDWJ32WnvZmA;;;;;;
Ireland;UCw8sEdJFtRUJPz07X2YI1-Q;;;;;;
Italia;UCwz2FHQYQjoPx5tsdGkrMkw;;;;;;
Kenya;UCbUxyCWtYfxq-8IN5HMMBgQ;;;;;;
Mexico;UCLCLYRARwqRZ8bsqQ-qiHeA;;;;;;
Netherland;UC-MP22kPy72rQZtvdlfZVvw;;;;;;
Norway;UClXb3x0J3CrLB9pGXEhIfcQ;;;;;;
Russia;UCzCmZjAGSWXJsklxXb-b8pw;;;;;;
Suisse;UCFlkhTsC1VXc-X0v7FbHVYg;;;;;;
UK;UCls8WK5H0VnefXYV5hkBQig;;;;;;
US;UClKnkk97QSxb1sncc30HIDQ;;;;;;
World;UCXhcoBjW56CayWR404NImOQ;;;;;;
Brazil - Sao Bernardo;UCNBaFWd0OConbs_xShKXdVg;;;;;;
Brazil Jaboticabal;UCtio8ltGoRhyoFbT_ofzDrQ;;;;;;
